System Date,9/11/2024 10:37:41 AM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,20,WC500-3,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,15,XT2640-006,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 2,71,XT2640-042,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,15,XT2640-006,2643AD1606002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,171,OK
Additional Equipment,71,XT2640-042,2643AD1605013,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,289,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC500-3,29857707,DAQ 3A,2,16,29224145,NI,9214,1,22488,2024-08-27,2025-08-27,350,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6705,EVAP_WTR_E_TEMP_TET-EW-4A,Evap Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,707,M3048723,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,7001,COND_PUMP_DIFF_PRESS_CW-P1,WC500-3,6707,COND_WTR_PRESS_PT-CW-1,Cond Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,700,1A00I2WO32I,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6708,COND_WTR_PRESS_PT-CW-2,Cond Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,695,1A00F0U1SII,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,7001,COND_PUMP_DIFF_PRESS_CW-P1,WC500-3,6709,COND_WTR_PRESS_PT-CW-3,Cond Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,698,1A00F0UI9IG,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,7002,EVAP_PUMP_DIFF_PRESS_EW-P1,WC500-3,6710,EVAP_WTR_PRESS_PT-EW-1,Evap Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,699,1A00I2WNR35,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6711,EVAP_WTR_PRESS_PT-EW-2,Evap Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,697,1A00F0U831Z,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,7002,EVAP_PUMP_DIFF_PRESS_EW-P1,WC500-3,6712,EVAP_WTR_PRESS_PT-EW-3,Evap Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,696,1A00F0U7W2R,Pressure,WIKA,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,16220,COMPR_SYS01_RVAP_SUCT_PRESS_01,WC500-3,6937,DAQ3B_AI_001,DAQ3B Current Input 1,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,8240,460456,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,16222,COMPR_SYS01_RVAP_DISCH_PRESS_01,WC500-3,6938,DAQ3B_AI_002,DAQ3B Current Input 2,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,3183,481329,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,17105,COND_SYS01_RVAP_HIGH-CTR_PRESS_01,WC500-3,6939,DAQ3B_AI_003,DAQ3B Current Input 3,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,9969,460452,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,17151,MTR-CLG_SYS01_RFG_TANK_PRESS_01,WC500-3,6940,DAQ3B_AI_004,DAQ3B Current Input 4,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4449,481330,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,17106,ECON_SYS01_RFG_E_PRESS_01,WC500-3,6941,DAQ3B_AI_005,DAQ3B Current Input 5,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,8234,446104,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,17150,AMB_UNIT_AIR_EXT_PRESS_01,WC500-3,6942,DAQ3B_AI_006,DAQ3B Current Input 6,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,1847,489945,Pressure,Omega,,2024-08-28,2025-02-28,170,OK
Process Interfaces,WC500-3,16227,EVAP_UNIT_WTR_NOZ_DP_01,WC500-3,6943,DAQ3B_AI_007,DAQ3B Current Input 7,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,4848,1505060,Diff Pressure,Rosemount,,2024-08-27,2025-02-27,169,OK
Process Interfaces,WC500-3,16226,COND_UNIT_WTR_NOZ_DP_01,WC500-3,6944,DAQ3B_AI_008,DAQ3B Current Input 8,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,4443,1142262,Diff Pressure,Rosemount,,2024-08-27,2025-02-27,169,OK
Process Interfaces,WC500-3,6605,COND_WTR_E_TEMP_TET-CW-2A,WC500-3,16083,DAQ2_RTD_001,DAQ2 RTD Input 1,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17747,ED26F5,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6606,COND_WTR_E_TEMP_TET-CW-2B,WC500-3,16084,DAQ2_RTD_002,DAQ2 RTD Input 2,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17742,ED2613,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6699,COND_WTR_L_TEMP_TET-CW-3A,WC500-3,16085,DAQ2_RTD_003,DAQ2 RTD Input 3,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17741,ED260B,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6700,COND_WTR_L_TEMP_TET-CW-3B,WC500-3,16086,DAQ2_RTD_004,DAQ2 RTD Input 4,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17752,ED2765,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6648,EVAP_WTR_E_TEMP_TET-EW-2A,WC500-3,16087,DAQ2_RTD_005,DAQ2 RTD Input 5,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17755,ED276A,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6649,EVAP_WTR_E_TEMP_TET-EW-2B,WC500-3,16088,DAQ2_RTD_006,DAQ2 RTD Input 6,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17744,ED2615,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6703,EVAP_WTR_L_TEMP_TET-EW-3A,WC500-3,16089,DAQ2_RTD_007,DAQ2 RTD Input 7,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17753,ED2767,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6704,EVAP_WTR_L_TEMP_TET-EW-3B,WC500-3,16090,DAQ2_RTD_008,DAQ2 RTD Input 8,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17745,ED2677,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
Process Interfaces,WC500-3,6696,CH_WTR_E_TEMP_TET-CH-2,WC500-3,16091,DAQ2_RTD_009,DAQ2 RTD Input 9,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,17743,ED2614,RTD,Pyromation,,2024-08-26,2025-02-26,168,OK
