System Date,11/4/2024 1:24:02 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
System,Subsystem 2,74,XT2640-045,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 3,79,XT2640-050,1,JADEC,Xitron XT2640,192.168.1.159
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,117,OK
Additional Equipment,74,XT2640-045,2643AD1606009,Xitron XT2640,XITRON,XT2640,2024-02-21,2025-02-21,109,OK
Additional Equipment,79,XT2640-050,2643AD1904001,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,235,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28520354,DAQ 3,2,93,29072571,NI,9208,3,19076,2024-01-05,2026-01-05,427,OK
Process Interfaces,WC1200,19058,OIL_SYS01_OIL_SUMP-MID_PRESS_01,WC1200,7262,DAQ3A_AI_005,DAQ3A Current Input 5,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,7923,460450,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,19059,AMB_UNIT_AIR_EXT_PRESS_01,WC1200,7263,DAQ3A_AI_006,DAQ3A Current Input 6,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,1854,490587,Pressure,Omega,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,16434,EVAP_UNIT_WTR_NOZ_DP_01,WC1200,7264,DAQ3A_AI_007,DAQ3A Current Input 7,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,3169,1769839,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,16428,COND_UNIT_WTR_NOZ_DP_01,WC1200,7265,DAQ3A_AI_008,DAQ3A Current Input 8,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,4847,1396531,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,18784,OIL_UNIT_WTR_NOZ_DP_01,WC1200,7266,DAQ3A_AI_009,DAQ3A Current Input 9,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,1842,1895448,Diff Pressure,Rosemount,,2024-10-02,2025-04-02,149,OK
Process Interfaces,WC1200,21301,AMB_UNIT_AIR_EXT_HUMIDITY_01,WC1200,7267,DAQ3A_AI_010,DAQ3A Current Input 10,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,17647,1903736,Device,Omega,,2024-07-16,2025-07-16,254,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7271,DAQ3A_AI_014,DAQ3A Current Input 14,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22187,12213539_26209955,Flow,Micro Motion,,2022-06-15,2025-06-15,223,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7272,DAQ3A_AI_015,DAQ3A Current Input 15,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22152,12112441_25693743,Flow,Micro Motion,,2023-08-09,2026-08-09,643,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7273,DAQ3A_AI_016,DAQ3A Current Input 16,AI,FALSE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22044,0870135755_0860223583,Flow,Rosemount,,2023-02-14,2025-02-15,103,OK
Process Interfaces,WC1200,7050,COND_WTR_E_TEMP_TET-CW-2A,WC1200,16293,DAQ2_RTD_001,DAQ2 RTD Input 1,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20938,ED5420,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7051,COND_WTR_E_TEMP_TET-CW-2B,WC1200,16294,DAQ2_RTD_002,DAQ2 RTD Input 2,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20932,ED5376,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7144,COND_WTR_L_TEMP_TET-CW-3A,WC1200,16295,DAQ2_RTD_003,DAQ2 RTD Input 3,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20930,ED5357,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7145,COND_WTR_L_TEMP_TET-CW-3B,WC1200,16296,DAQ2_RTD_004,DAQ2 RTD Input 4,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20936,ED53E8,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7093,EVAP_WTR_E_TEMP_TET-EW-2A,WC1200,16297,DAQ2_RTD_005,DAQ2 RTD Input 5,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20939,ED5422,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7094,EVAP_WTR_E_TEMP_TET-EW-2B,WC1200,16298,DAQ2_RTD_006,DAQ2 RTD Input 6,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20935,ED53E3,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7148,EVAP_WTR_L_TEMP_TET-EW-3A,WC1200,16299,DAQ2_RTD_007,DAQ2 RTD Input 7,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20925,ED17BA,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7149,EVAP_WTR_L_TEMP_TET-EW-3B,WC1200,16300,DAQ2_RTD_008,DAQ2 RTD Input 8,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20928,ED19E5,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7141,CH_WTR_E_TEMP_TET-CH-2,WC1200,16301,DAQ2_RTD_009,DAQ2 RTD Input 9,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20931,ED5375,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
Process Interfaces,WC1200,7142,CH_WTR_L_TEMP_TET-CH-3,WC1200,16302,DAQ2_RTD_010,DAQ2 RTD Input 10,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,20940,ED5475,RTD,Pyromation,,2024-06-15,2024-12-15,41,60-Days
